Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
753,Larynx cancer,AUS,2015,MLE,YEARS60-64,629071,24.08,3.83,754.5,119.94
1120,Hypertensive heart disease,AUS,2015,MLE,YEARS60-64,629071,22.18,3.53,694.71,110.43
970,Epilepsy,AUS,2015,MLE,YEARS60-64,629071,14.11,2.24,841.23,133.73
960,Parkinson disease,AUS,2015,MLE,YEARS60-64,629071,13.1,2.08,760.05,120.82
1242,Paralytic ileus and intestinal obstruction,AUS,2015,MLE,YEARS60-64,629071,10.08,1.6,321.54,51.11
1248,Pancreatitis,AUS,2015,MLE,YEARS60-64,629071,10.08,1.6,329.33,52.35
752,Gallbladder and biliary tract cancer,AUS,2015,MLE,YEARS60-64,629071,9.85,1.57,289.58,46.03
1575,Exposure to mechanical forces,AUS,2015,MLE,YEARS60-64,629071,9.16,1.46,6633.19,1054.44
1190,Asthma,AUS,2015,MLE,YEARS60-64,629071,8.06,1.28,1398.49,222.31
1220,Peptic ulcer disease,AUS,2015,MLE,YEARS60-64,629071,8.06,1.28,261.06,41.5
1570,Drowning,AUS,2015,MLE,YEARS60-64,629071,7.12,1.13,213.36,33.92
100,HIV/AIDS,AUS,2015,MLE,YEARS60-64,629071,6.11,0.97,275.92,43.86
1620,Interpersonal violence,AUS,2015,MLE,YEARS60-64,629071,6.06,0.96,1193.81,189.77
1246,Gallbladder and biliary diseases,AUS,2015,MLE,YEARS60-64,629071,6.05,0.96,474.3,75.4
1330,Skin diseases,AUS,2015,MLE,YEARS60-64,629071,5.04,0.8,1443.89,229.53
1110,Rheumatic heart disease,AUS,2015,MLE,YEARS60-64,629071,5.04,0.8,175.36,27.88
30,Tuberculosis,AUS,2015,MLE,YEARS60-64,629071,5.05,0.8,152.46,24.24
980,Multiple sclerosis,AUS,2015,MLE,YEARS60-64,629071,4.03,0.64,273.65,43.5
754,Thyroid cancer,AUS,2015,MLE,YEARS60-64,629071,3.28,0.52,126.29,20.08
170,Meningitis,AUS,2015,MLE,YEARS60-64,629071,3.02,0.48,106.54,16.94
190,Acute hepatitis B,AUS,2015,MLE,YEARS60-64,629071,3.0,0.48,102.8,16.34
1244,Inflammatory bowel disease,AUS,2015,MLE,YEARS60-64,629071,3.02,0.48,315.96,50.23
700,Breast cancer,AUS,2015,MLE,YEARS60-64,629071,2.19,0.35,74.88,11.9
550,Protein-energy malnutrition,AUS,2015,MLE,YEARS60-64,629071,2.02,0.32,175.62,27.92
1350,Rheumatoid arthritis,AUS,2015,MLE,YEARS60-64,629071,2.02,0.32,659.81,104.89
1360,Osteoarthritis,AUS,2015,MLE,YEARS60-64,629071,2.02,0.32,5812.03,923.91
1560,"Fire, heat and hot substances",AUS,2015,MLE,YEARS60-64,629071,2.03,0.32,680.39,108.16
742,Testicular cancer,AUS,2015,MLE,YEARS60-64,629071,1.13,0.18,39.94,6.35
580,Iron-deficiency anaemia,AUS,2015,MLE,YEARS60-64,629071,1.01,0.16,176.5,28.06
400,Upper respiratory infections,AUS,2015,MLE,YEARS60-64,629071,1.01,0.16,462.44,73.51
110,Diarrhoeal diseases,AUS,2015,MLE,YEARS60-64,629071,1.01,0.16,341.16,54.23
130,Whooping cough,AUS,2015,MLE,YEARS60-64,629071,1.01,0.16,28.89,4.59
1470,Oral conditions,AUS,2015,MLE,YEARS60-64,629071,1.01,0.16,3865.88,614.54
1370,Gout,AUS,2015,MLE,YEARS60-64,629071,1.01,0.16,1611.82,256.22
1241,Gastritis and duodenitis,AUS,2015,MLE,YEARS60-64,629071,1.01,0.16,231.22,36.76
840,Bipolar disorder,AUS,2015,MLE,YEARS60-64,629071,1.01,0.16,1706.71,271.31
850,Schizophrenia,AUS,2015,MLE,YEARS60-64,629071,1.01,0.16,1971.22,313.35
186,Acute hepatitis A,AUS,2015,MLE,YEARS60-64,629071,0.71,0.11,30.36,4.83
1580,Natural disasters,AUS,2015,MLE,YEARS60-64,629071,0.36,0.06,13.38,2.13
1630,Collective violence and legal intervention,AUS,2015,MLE,YEARS60-64,629071,0.14,0.02,5.58,0.89
1505,Sudden infant death syndrome,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
1540,Poisonings,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,57.2,9.09
990,Migraine,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,1499.9,238.43
1000,Non-migraine headache,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,462.16,73.47
1030,Glaucoma,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,78.93,12.55
1040,Cataracts,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,301.79,47.97
1050,Uncorrected refractive errors,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,1941.07,308.56
1060,Macular degeneration,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,76.16,12.11
1070,Other vision loss,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,746.45,118.66
1080,Other hearing loss,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,7108.9,1130.06
1240,Appendicitis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,9.62,1.53
1380,Back and neck pain,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,7277.77,1156.91
1280,Benign prostatic hyperplasia,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,919.3,146.14
1290,Urolithiasis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,82.89,13.18
1310,Infertility,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
1320,Gynecological diseases,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
180,Encephalitis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,1.85,0.29
410,Otitis media,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,49.97,7.94
420,Maternal conditions,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
490,Neonatal conditions,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,635.94,101.09
140,Diphtheria,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
150,Measles,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
160,Tetanus,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
50,Syphilis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,1.38,0.22
60,Chlamydia,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.4,0.06
70,Gonorrhoea,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.29,0.05
80,Trichomoniasis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.86,0.14
85,Genital herpes,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,20.4,3.24
205,Acute hepatitis E,AUS,2015,MLE,YEARS60-64,629071,0.02,0.0,1.52,0.24
220,Malaria,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
230,African trypanosomiasis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
240,Chagas disease,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.76,0.12
250,Schistosomiasis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
260,Leishmaniasis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
270,Lymphatic filariasis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
280,Onchocerciasis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
285,Cysticercosis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
295,Echinococcosis,AUS,2015,MLE,YEARS60-64,629071,0.02,0.0,1.82,0.29
300,Dengue,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,13.62,2.17
310,Trachoma,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.07,0.01
315,Yellow fever,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
320,Rabies,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
340,Ascariasis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
350,Trichuriasis,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
360,Hookworm disease,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
362,Food-bourne trematodes,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
365,Leprosy,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
560,Iodine deficiency,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,15.06,2.39
570,Vitamin A deficiency,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
710,Cervix uteri cancer,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
720,Corpus uteri cancer,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
730,Ovary cancer,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
880,Anxiety disorders,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,1979.74,314.71
890,Eating disorders,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,0.0,0.0
900,Autism and Asperger syndrome,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,508.55,80.84
910,Childhood behavioural disorders,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,48.93,7.78
920,Idiopathic intellectual disability,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,122.05,19.4
811,Thalassaemias,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,4.13,0.66
812,Sickle cell disorders and trait,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,1.08,0.17
830,Depressive disorders,AUS,2015,MLE,YEARS60-64,629071,0.0,0.0,4594.61,730.38
1130,Ischaemic heart disease,AUS,2015,MLE,YEARS65-69,567327,926.38,163.29,23897.05,4212.22
680,"Trachea, bronchus, lung cancers",AUS,2015,MLE,YEARS65-69,567327,697.13,122.88,17123.7,3018.31
650,Colon and rectum cancers,AUS,2015,MLE,YEARS65-69,567327,407.89,71.9,10664.37,1879.76
1180,Chronic obstructive pulmonary disease,AUS,2015,MLE,YEARS65-69,567327,374.55,66.02,13063.12,2302.57
740,Prostate cancer,AUS,2015,MLE,YEARS65-69,567327,285.09,50.25,9458.68,1667.24
1140,Stroke,AUS,2015,MLE,YEARS65-69,567327,238.64,42.06,7356.52,1296.7
670,Pancreas cancer,AUS,2015,MLE,YEARS65-69,567327,225.39,39.73,5493.02,968.23
800,Diabetes mellitus,AUS,2015,MLE,YEARS65-69,567327,205.38,36.2,14219.02,2506.32
760,"Lymphomas, multiple myeloma",AUS,2015,MLE,YEARS65-69,567327,198.49,34.99,5189.18,914.67
660,Liver cancer,AUS,2015,MLE,YEARS65-69,567327,166.57,29.36,4062.46,716.07
630,Oesophagus cancer,AUS,2015,MLE,YEARS65-69,567327,164.78,29.04,4023.66,709.23
690,Melanoma and other skin cancers,AUS,2015,MLE,YEARS65-69,567327,162.71,28.68,4599.57,810.74
751,Brain and nervous system cancers,AUS,2015,MLE,YEARS65-69,567327,148.94,26.25,3632.33,640.25
950,Alzheimer disease and other dementias,AUS,2015,MLE,YEARS65-69,567327,132.13,23.29,4744.0,836.2
620,Mouth and oropharynx cancers,AUS,2015,MLE,YEARS65-69,567327,118.21,20.84,2936.74,517.65
1230,Cirrhosis of the liver,AUS,2015,MLE,YEARS65-69,567327,116.23,20.49,2855.64,503.35
770,Leukaemia,AUS,2015,MLE,YEARS65-69,567327,116.07,20.46,2956.08,521.05
1610,Self-harm,AUS,2015,MLE,YEARS65-69,567327,111.95,19.73,2886.12,508.72
640,Stomach cancer,AUS,2015,MLE,YEARS65-69,567327,96.53,17.01,2409.28,424.67
1150,"Cardiomyopathy, myocarditis, endocarditis",AUS,2015,MLE,YEARS65-69,567327,95.37,16.81,2667.25,470.14
745,Kidney cancer,AUS,2015,MLE,YEARS65-69,567327,87.83,15.48,2248.34,396.3
755,Mesothelioma,AUS,2015,MLE,YEARS65-69,567327,83.47,14.71,2058.67,362.87
1270,Kidney diseases,AUS,2015,MLE,YEARS65-69,567327,67.08,11.82,2728.56,480.95
750,Bladder cancer,AUS,2015,MLE,YEARS65-69,567327,62.87,11.08,1713.2,301.98
390,Lower respiratory infections,AUS,2015,MLE,YEARS65-69,567327,59.61,10.51,1472.58,259.56
1120,Hypertensive heart disease,AUS,2015,MLE,YEARS65-69,567327,51.66,9.11,1391.16,245.21
1530,Road injury,AUS,2015,MLE,YEARS65-69,567327,50.63,8.92,2439.53,430.0
1550,Falls,AUS,2015,MLE,YEARS65-69,567327,48.98,8.63,6793.63,1197.48
960,Parkinson disease,AUS,2015,MLE,YEARS65-69,567327,48.68,8.58,1842.92,324.84
860,Alcohol use disorders,AUS,2015,MLE,YEARS65-69,567327,27.82,4.9,2072.92,365.38
753,Larynx cancer,AUS,2015,MLE,YEARS65-69,567327,21.68,3.82,585.78,103.25
870,Drug use disorders,AUS,2015,MLE,YEARS65-69,567327,20.56,3.62,882.63,155.58
752,Gallbladder and biliary tract cancer,AUS,2015,MLE,YEARS65-69,567327,17.34,3.06,428.92,75.6
1242,Paralytic ileus and intestinal obstruction,AUS,2015,MLE,YEARS65-69,567327,14.9,2.63,392.86,69.25
1246,Gallbladder and biliary diseases,AUS,2015,MLE,YEARS65-69,567327,13.91,2.45,651.57,114.85
1220,Peptic ulcer disease,AUS,2015,MLE,YEARS65-69,567327,13.91,2.45,365.23,64.38
1400,Congenital anomalies,AUS,2015,MLE,YEARS65-69,567327,13.91,2.45,530.35,93.48
200,Acute hepatitis C,AUS,2015,MLE,YEARS65-69,567327,13.91,2.45,336.56,59.32
1570,Drowning,AUS,2015,MLE,YEARS65-69,567327,11.99,2.11,298.71,52.65
970,Epilepsy,AUS,2015,MLE,YEARS65-69,567327,11.92,2.1,750.79,132.34
1110,Rheumatic heart disease,AUS,2015,MLE,YEARS65-69,567327,11.92,2.1,331.4,58.41
754,Thyroid cancer,AUS,2015,MLE,YEARS65-69,567327,11.92,2.1,318.63,56.16
980,Multiple sclerosis,AUS,2015,MLE,YEARS65-69,567327,8.94,1.58,347.71,61.29
1190,Asthma,AUS,2015,MLE,YEARS65-69,567327,8.94,1.58,1301.04,229.33
1330,Skin diseases,AUS,2015,MLE,YEARS65-69,567327,8.94,1.58,1591.01,280.44
1575,Exposure to mechanical forces,AUS,2015,MLE,YEARS65-69,567327,7.0,1.23,6071.9,1070.26
1350,Rheumatoid arthritis,AUS,2015,MLE,YEARS65-69,567327,5.96,1.05,803.91,141.7
1248,Pancreatitis,AUS,2015,MLE,YEARS65-69,567327,4.97,0.88,161.81,28.52
1620,Interpersonal violence,AUS,2015,MLE,YEARS65-69,567327,4.98,0.88,1026.7,180.97
1560,"Fire, heat and hot substances",AUS,2015,MLE,YEARS65-69,567327,4.0,0.71,648.76,114.35
190,Acute hepatitis B,AUS,2015,MLE,YEARS65-69,567327,3.39,0.6,95.86,16.9
100,HIV/AIDS,AUS,2015,MLE,YEARS65-69,567327,3.02,0.53,140.38,24.74
110,Diarrhoeal diseases,AUS,2015,MLE,YEARS65-69,567327,2.98,0.53,447.32,78.85
1380,Back and neck pain,AUS,2015,MLE,YEARS65-69,567327,2.98,0.53,6603.47,1163.96
920,Idiopathic intellectual disability,AUS,2015,MLE,YEARS65-69,567327,2.98,0.53,164.94,29.07
700,Breast cancer,AUS,2015,MLE,YEARS65-69,567327,2.17,0.38,66.32,11.69
850,Schizophrenia,AUS,2015,MLE,YEARS65-69,567327,1.99,0.35,1420.23,250.34
1280,Benign prostatic hyperplasia,AUS,2015,MLE,YEARS65-69,567327,1.99,0.35,1549.73,273.16
742,Testicular cancer,AUS,2015,MLE,YEARS65-69,567327,1.12,0.2,32.33,5.7
30,Tuberculosis,AUS,2015,MLE,YEARS65-69,567327,1.0,0.18,42.86,7.55
550,Protein-energy malnutrition,AUS,2015,MLE,YEARS65-69,567327,0.99,0.17,135.59,23.9
580,Iron-deficiency anaemia,AUS,2015,MLE,YEARS65-69,567327,0.99,0.17,169.63,29.9
1244,Inflammatory bowel disease,AUS,2015,MLE,YEARS65-69,567327,0.99,0.17,209.81,36.98
1240,Appendicitis,AUS,2015,MLE,YEARS65-69,567327,0.99,0.17,32.33,5.7
205,Acute hepatitis E,AUS,2015,MLE,YEARS65-69,567327,0.59,0.1,15.14,2.67
1580,Natural disasters,AUS,2015,MLE,YEARS65-69,567327,0.33,0.06,10.79,1.9
1630,Collective violence and legal intervention,AUS,2015,MLE,YEARS65-69,567327,0.13,0.02,4.16,0.73
186,Acute hepatitis A,AUS,2015,MLE,YEARS65-69,567327,0.12,0.02,9.36,1.65
560,Iodine deficiency,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,12.55,2.21
570,Vitamin A deficiency,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
710,Cervix uteri cancer,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
720,Corpus uteri cancer,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
730,Ovary cancer,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
880,Anxiety disorders,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,1590.76,280.4
890,Eating disorders,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
900,Autism and Asperger syndrome,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,436.93,77.02
910,Childhood behavioural disorders,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,22.42,3.95
811,Thalassaemias,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,3.86,0.68
812,Sickle cell disorders and trait,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,1.01,0.18
830,Depressive disorders,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,4008.45,706.55
840,Bipolar disorder,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,1360.56,239.82
220,Malaria,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
230,African trypanosomiasis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
240,Chagas disease,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.64,0.11
250,Schistosomiasis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
260,Leishmaniasis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
270,Lymphatic filariasis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
280,Onchocerciasis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
285,Cysticercosis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
295,Echinococcosis,AUS,2015,MLE,YEARS65-69,567327,0.02,0.0,1.7,0.3
300,Dengue,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,12.61,2.22
310,Trachoma,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.1,0.02
315,Yellow fever,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
320,Rabies,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
340,Ascariasis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
350,Trichuriasis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
360,Hookworm disease,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
362,Food-bourne trematodes,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
365,Leprosy,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
50,Syphilis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,1.52,0.27
60,Chlamydia,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.13,0.02
70,Gonorrhoea,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.11,0.02
80,Trichomoniasis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.67,0.12
85,Genital herpes,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,17.23,3.04
400,Upper respiratory infections,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,384.97,67.86
410,Otitis media,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,38.89,6.85
420,Maternal conditions,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
490,Neonatal conditions,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,448.49,79.05
130,Whooping cough,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
140,Diphtheria,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
150,Measles,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
160,Tetanus,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
170,Meningitis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,15.38,2.71
180,Encephalitis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,1.61,0.28
1470,Oral conditions,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,3874.68,682.97
1505,Sudden infant death syndrome,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
1540,Poisonings,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,51.25,9.03
1241,Gastritis and duodenitis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,180.97,31.9
1290,Urolithiasis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,72.47,12.77
1310,Infertility,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
1320,Gynecological diseases,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,0.0,0.0
1360,Osteoarthritis,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,6079.74,1071.65
1370,Gout,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,1751.26,308.69
990,Migraine,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,1119.58,197.34
1000,Non-migraine headache,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,384.96,67.86
1030,Glaucoma,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,123.54,21.78
1040,Cataracts,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,390.72,68.87
1050,Uncorrected refractive errors,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,2018.02,355.71
1060,Macular degeneration,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,129.82,22.88
1070,Other vision loss,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,871.36,153.59
1080,Other hearing loss,AUS,2015,MLE,YEARS65-69,567327,0.0,0.0,9686.88,1707.46
700,Breast cancer,AUS,2014,FMLE,YEARS55-59,721031,268.88,37.29,10253.65,1422.08
680,"Trachea, bronchus, lung cancers",AUS,2014,FMLE,YEARS55-59,721031,218.84,30.35,7411.9,1027.96
1130,Ischaemic heart disease,AUS,2014,FMLE,YEARS55-59,721031,132.37,18.36,4689.47,650.38
650,Colon and rectum cancers,AUS,2014,FMLE,YEARS55-59,721031,131.79,18.28,4711.0,653.37
1140,Stroke,AUS,2014,FMLE,YEARS55-59,721031,92.94,12.89,4670.52,647.76
1180,Chronic obstructive pulmonary disease,AUS,2014,FMLE,YEARS55-59,721031,86.4,11.98,5920.36,821.1
730,Ovary cancer,AUS,2014,FMLE,YEARS55-59,721031,81.66,11.33,2808.38,389.5
670,Pancreas cancer,AUS,2014,FMLE,YEARS55-59,721031,70.57,9.79,2372.35,329.02
751,Brain and nervous system cancers,AUS,2014,FMLE,YEARS55-59,721031,62.7,8.7,2112.37,292.97
1230,Cirrhosis of the liver,AUS,2014,FMLE,YEARS55-59,721031,61.77,8.57,2100.82,291.36
1610,Self-harm,AUS,2014,FMLE,YEARS55-59,721031,59.93,8.31,2260.13,313.46
760,"Lymphomas, multiple myeloma",AUS,2014,FMLE,YEARS55-59,721031,51.01,7.07,1819.78,252.39
800,Diabetes mellitus,AUS,2014,FMLE,YEARS55-59,721031,49.23,6.83,7068.5,980.33
690,Melanoma and other skin cancers,AUS,2014,FMLE,YEARS55-59,721031,44.64,6.19,1904.4,264.12
